image_path,label
Dataset-Flores\Astromelia\100016.jpg,Astromelia
Dataset-Flores\Astromelia\10014.jpg,Astromelia
Dataset-Flores\Astromelia\100373.jpg,Astromelia
Dataset-Flores\Astromelia\100566.jpg,Astromelia
Dataset-Flores\Astromelia\100688.jpg,Astromelia
Dataset-Flores\Astromelia\10083.jpg,Astromelia
Dataset-Flores\Astromelia\100928.jpg,Astromelia
Dataset-Flores\Astromelia\101068.jpg,Astromelia
Dataset-Flores\Astromelia\10107.jpg,Astromelia
Dataset-Flores\Astromelia\101107.jpg,Astromelia
Dataset-Flores\Astromelia\10126.jpg,Astromelia
Dataset-Flores\Astromelia\101279.jpg,Astromelia
Dataset-Flores\Astromelia\101329.jpg,Astromelia
Dataset-Flores\Astromelia\10142.jpg,Astromelia
Dataset-Flores\Astromelia\101633.jpg,Astromelia
Dataset-Flores\Astromelia\101752.jpg,Astromelia
Dataset-Flores\Astromelia\101830.jpg,Astromelia
Dataset-Flores\Astromelia\101852.jpg,Astromelia
Dataset-Flores\Astromelia\101867.jpg,Astromelia
Dataset-Flores\Astromelia\101960.jpg,Astromelia
Dataset-Flores\Astromelia\101961.jpg,Astromelia
Dataset-Flores\Astromelia\101981.jpg,Astromelia
Dataset-Flores\Astromelia\102045.jpg,Astromelia
Dataset-Flores\Astromelia\102061.jpg,Astromelia
Dataset-Flores\Astromelia\102069.jpg,Astromelia
Dataset-Flores\Astromelia\102177.jpg,Astromelia
Dataset-Flores\Astromelia\102185.jpg,Astromelia
Dataset-Flores\Astromelia\102435.jpg,Astromelia
Dataset-Flores\Astromelia\102524.jpg,Astromelia
Dataset-Flores\Astromelia\102753.jpg,Astromelia
Dataset-Flores\Astromelia\102878.jpg,Astromelia
Dataset-Flores\Astromelia\103020.jpg,Astromelia
Dataset-Flores\Astromelia\103064.jpg,Astromelia
Dataset-Flores\Astromelia\103394.jpg,Astromelia
Dataset-Flores\Astromelia\103400.jpg,Astromelia
Dataset-Flores\Astromelia\103454.jpg,Astromelia
Dataset-Flores\Astromelia\103685.jpg,Astromelia
Dataset-Flores\Astromelia\103704.jpg,Astromelia
Dataset-Flores\Astromelia\103749.jpg,Astromelia
Dataset-Flores\Astromelia\103916.jpg,Astromelia
Dataset-Flores\Astromelia\103932.jpg,Astromelia
Dataset-Flores\Astromelia\10402.jpg,Astromelia
Dataset-Flores\Astromelia\10409.jpg,Astromelia
Dataset-Flores\Astromelia\104198.jpg,Astromelia
Dataset-Flores\Astromelia\104324.jpg,Astromelia
Dataset-Flores\Astromelia\104325.jpg,Astromelia
Dataset-Flores\Astromelia\104369.jpg,Astromelia
Dataset-Flores\Astromelia\104413.jpg,Astromelia
Dataset-Flores\Astromelia\104476.jpg,Astromelia
Dataset-Flores\Astromelia\104502.jpg,Astromelia
Dataset-Flores\Astromelia\104578.jpg,Astromelia
Dataset-Flores\Astromelia\104710.jpg,Astromelia
Dataset-Flores\Astromelia\104733.jpg,Astromelia
Dataset-Flores\Astromelia\104804.jpg,Astromelia
Dataset-Flores\Astromelia\104923.jpg,Astromelia
Dataset-Flores\Astromelia\104975.jpg,Astromelia
Dataset-Flores\Astromelia\105093.jpg,Astromelia
Dataset-Flores\Astromelia\105136.jpg,Astromelia
Dataset-Flores\Astromelia\105301.jpg,Astromelia
Dataset-Flores\Astromelia\105605.jpg,Astromelia
Dataset-Flores\Astromelia\105673.jpg,Astromelia
Dataset-Flores\Astromelia\10572.jpg,Astromelia
Dataset-Flores\Astromelia\105842.jpg,Astromelia
Dataset-Flores\Astromelia\105969.jpg,Astromelia
Dataset-Flores\Astromelia\106095.jpg,Astromelia
Dataset-Flores\Astromelia\106163.jpg,Astromelia
Dataset-Flores\Astromelia\106391.jpg,Astromelia
Dataset-Flores\Astromelia\106392.jpg,Astromelia
Dataset-Flores\Astromelia\106393.jpg,Astromelia
Dataset-Flores\Astromelia\106404.jpg,Astromelia
Dataset-Flores\Astromelia\106422.jpg,Astromelia
Dataset-Flores\Astromelia\106443.jpg,Astromelia
Dataset-Flores\Astromelia\106469.jpg,Astromelia
Dataset-Flores\Astromelia\106483.jpg,Astromelia
Dataset-Flores\Astromelia\10662.jpg,Astromelia
Dataset-Flores\Astromelia\10682.jpg,Astromelia
Dataset-Flores\Astromelia\106918.jpg,Astromelia
Dataset-Flores\Astromelia\10707.jpg,Astromelia
Dataset-Flores\Astromelia\107117.jpg,Astromelia
Dataset-Flores\Astromelia\107127.jpg,Astromelia
Dataset-Flores\Astromelia\10713.jpg,Astromelia
Dataset-Flores\Astromelia\107247.jpg,Astromelia
Dataset-Flores\Astromelia\107408.jpg,Astromelia
Dataset-Flores\Astromelia\107415.jpg,Astromelia
Dataset-Flores\Astromelia\107442.jpg,Astromelia
Dataset-Flores\Astromelia\107736.jpg,Astromelia
Dataset-Flores\Astromelia\107844.jpg,Astromelia
Dataset-Flores\Astromelia\107912.jpg,Astromelia
Dataset-Flores\Astromelia\107982.jpg,Astromelia
Dataset-Flores\Astromelia\108135.jpg,Astromelia
Dataset-Flores\Astromelia\108251.jpg,Astromelia
Dataset-Flores\Astromelia\10828.jpg,Astromelia
Dataset-Flores\Astromelia\108320.jpg,Astromelia
Dataset-Flores\Astromelia\108391.jpg,Astromelia
Dataset-Flores\Astromelia\108574.jpg,Astromelia
Dataset-Flores\Astromelia\108617.jpg,Astromelia
Dataset-Flores\Astromelia\108652.jpg,Astromelia
